Fecha,CodFronteraDDV,Periodo,Lectura
2024-06-16 0:00,Frt31074,periodo19,105.35
2024-06-16 0:00,Frt31074,periodo20,103.04
2024-06-16 0:00,Frt31074,periodo21,92.79
2024-06-16 0:00,Frt31074,periodo22,70.55
2024-06-16 0:00,Frt31074,periodo23,67.1
2024-06-16 0:00,Frt31074,periodo24,64.53
2024-06-16 0:00,Frt55966,periodo01,499.3
2024-06-16 0:00,Frt55966,periodo02,543.44
2024-06-16 0:00,Frt55966,periodo03,518.33
2024-06-16 0:00,Frt55966,periodo04,535.4
2024-06-16 0:00,Frt55966,periodo05,609.44
2024-06-16 0:00,Frt55966,periodo06,614.74
2024-06-16 0:00,Frt55966,periodo07,448.6
2024-06-16 0:00,Frt55966,periodo08,420.75
2024-06-16 0:00,Frt55966,periodo09,237.15
2024-06-16 0:00,Frt55966,periodo10,215.17
2024-06-16 0:00,Frt55966,periodo11,196.04
2024-06-16 0:00,Frt55966,periodo12,192.31
2024-06-16 0:00,Frt55966,periodo13,199.07
2024-06-16 0:00,Frt55966,periodo14,185.25
2024-06-16 0:00,Frt55966,periodo15,195.54
2024-06-16 0:00,Frt55966,periodo16,189.27
2024-06-16 0:00,Frt55966,periodo17,130.83
2024-06-16 0:00,Frt55966,periodo18,100.33
2024-06-16 0:00,Frt55966,periodo19,106.22
2024-06-16 0:00,Frt55966,periodo20,106.51
2024-06-16 0:00,Frt55966,periodo21,151.23
2024-06-16 0:00,Frt55966,periodo22,160.84
2024-06-16 0:00,Frt55966,periodo23,186.25
2024-06-16 0:00,Frt55966,periodo24,179.18
2024-06-16 0:00,Frt31170,periodo01,83.37
2024-06-16 0:00,Frt31170,periodo02,84.15
2024-06-16 0:00,Frt31170,periodo03,83.03
2024-06-16 0:00,Frt31170,periodo04,82.65
2024-06-16 0:00,Frt31170,periodo05,89.26
2024-06-16 0:00,Frt31170,periodo06,91.38
2024-06-16 0:00,Frt31170,periodo07,92.9
2024-06-16 0:00,Frt31170,periodo08,102.27
2024-06-16 0:00,Frt31170,periodo09,107.25
2024-06-16 0:00,Frt31170,periodo10,121.56
2024-06-16 0:00,Frt31170,periodo11,130.74
2024-06-16 0:00,Frt31170,periodo12,138.97
2024-06-16 0:00,Frt31170,periodo13,148.02
2024-06-16 0:00,Frt31170,periodo14,145.59
2024-06-16 0:00,Frt31170,periodo15,144.85
2024-06-16 0:00,Frt31170,periodo16,142.91
2024-06-16 0:00,Frt31170,periodo17,145.64
2024-06-16 0:00,Frt31170,periodo18,146.54
2024-06-16 0:00,Frt31170,periodo19,128.07
2024-06-16 0:00,Frt31170,periodo20,118.5
2024-06-16 0:00,Frt31170,periodo21,111.65
2024-06-16 0:00,Frt31170,periodo22,92.67
2024-06-16 0:00,Frt31170,periodo23,78.4
2024-06-16 0:00,Frt31170,periodo24,80.18
2024-06-16 0:00,Frt31174,periodo01,56.21
2024-06-16 0:00,Frt31174,periodo02,53.2
2024-06-16 0:00,Frt31174,periodo03,55.41
2024-06-16 0:00,Frt31174,periodo04,55.74
2024-06-16 0:00,Frt31174,periodo05,55.05
2024-06-16 0:00,Frt31174,periodo06,52.02
2024-06-16 0:00,Frt31174,periodo07,70.44
2024-06-16 0:00,Frt31174,periodo08,79.02
2024-06-16 0:00,Frt31174,periodo09,85.15
2024-06-16 0:00,Frt31174,periodo10,83.01
2024-06-16 0:00,Frt31174,periodo11,91.5
2024-06-16 0:00,Frt31174,periodo12,97.32
2024-06-16 0:00,Frt31174,periodo13,96.69
2024-06-16 0:00,Frt31174,periodo14,91.91
2024-06-16 0:00,Frt31174,periodo15,100.25
2024-06-16 0:00,Frt31174,periodo16,98.35
2024-06-16 0:00,Frt31174,periodo17,97.79
2024-06-16 0:00,Frt31174,periodo18,92.87
2024-06-16 0:00,Frt31174,periodo19,96.18
2024-06-16 0:00,Frt31174,periodo20,89.94
2024-06-16 0:00,Frt31174,periodo21,73.78
2024-06-16 0:00,Frt31174,periodo22,58.67
2024-06-16 0:00,Frt31174,periodo23,54.19
2024-06-16 0:00,Frt31174,periodo24,52.74
2024-06-16 0:00,Frt32660,periodo01,36.52
2024-06-16 0:00,Frt32660,periodo02,36.62
2024-06-16 0:00,Frt32660,periodo03,37.77
2024-06-16 0:00,Frt32660,periodo04,37.1
2024-06-16 0:00,Frt32660,periodo05,37.21
2024-06-16 0:00,Frt32660,periodo06,37.42
2024-06-16 0:00,Frt32660,periodo07,36.35
2024-06-16 0:00,Frt32660,periodo08,32.21
2024-06-16 0:00,Frt32660,periodo09,25.15
2024-06-16 0:00,Frt32660,periodo10,22.9
2024-06-16 0:00,Frt32660,periodo11,16.49
2024-06-16 0:00,Frt32660,periodo12,15.71
2024-06-16 0:00,Frt32660,periodo13,12.84
2024-06-16 0:00,Frt32660,periodo14,11.22
2024-06-16 0:00,Frt32660,periodo15,20.47
2024-06-16 0:00,Frt32660,periodo16,28.21
2024-06-16 0:00,Frt32660,periodo17,33.7
2024-06-16 0:00,Frt32660,periodo18,35.9
2024-06-16 0:00,Frt32660,periodo19,36.94
2024-06-16 0:00,Frt32660,periodo20,36.11
2024-06-16 0:00,Frt32660,periodo21,35.99
2024-06-16 0:00,Frt32660,periodo22,37.6
2024-06-16 0:00,Frt32660,periodo23,37.57
2024-06-16 0:00,Frt32660,periodo24,38.76
2024-06-16 0:00,Frt32661,periodo01,379.61
2024-06-16 0:00,Frt32661,periodo02,376.4
2024-06-16 0:00,Frt32661,periodo03,393.44
2024-06-16 0:00,Frt32661,periodo04,390.55
2024-06-16 0:00,Frt32661,periodo05,387.45
2024-06-16 0:00,Frt32661,periodo06,384.66
2024-06-16 0:00,Frt32661,periodo07,389.21
2024-06-16 0:00,Frt32661,periodo08,390.64
2024-06-16 0:00,Frt32661,periodo09,396.59
2024-06-16 0:00,Frt32661,periodo10,392.29
2024-06-16 0:00,Frt32661,periodo11,373.24
2024-06-16 0:00,Frt32661,periodo12,380.14
