FECHA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24
19/01/2024;523,1693019;523,1693019;518,1693019;518,1693019;518,1693019;523,1693019;523,1693019;523,1693019;523,1693019;532,1693019;555,0693019;565,4693019;541,1693019;541,1693019;565,4693019;565,4693019;555,0693019;555,0693019;565,4693019;565,4693019;555,0693019;547,1693019;541,1693019;532,1693019
20/01/2024;527,5529752;519,2529752;519,2529752;518,2529752;518,2529752;518,2529752;518,2529752;519,2529752;527,5529752;527,5529752;527,5529752;527,5529752;527,5529752;527,5529752;527,5529752;527,5529752;531,2529752;531,2529752;531,2529752;531,2529752;531,2529752;531,2529752;527,5529752;527,5529752
21/01/2024;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;449,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;500,4312084;524,7312084;524,7312084;524,7312084;519,4312084;518,4312084;500,4312084
22/01/2024;501,3224701;501,3224701;501,3224701;500,8684701;500,3224701;500,8684701;501,3224701;501,3224701;501,3224701;501,3224701;501,3224701;501,8224701;501,3224701;501,8224701;501,8224701;501,8224701;501,8224701;501,8224701;501,8224701;509,3224701;509,3224701;509,3224701;501,8224701;501,8224701
23/01/2024;483,5849973;480,2399973;480,2399973;480,2399973;480,2399973;483,5849973;483,5849973;483,5849973;483,5849973;501,6399973;501,6399973;501,8399973;501,6399973;501,6399973;501,8399973;501,8399973;503,2399973;501,7399973;503,2399973;503,2399973;501,8399973;511,6399973;501,7399973;489,2399973
24/01/2024;484,0509753;484,0509753;455,5169753;454,0509753;455,5169753;484,0509753;484,0509753;484,0509753;484,0509753;484,0509753;500,5009753;500,5009753;500,5009753;500,5509753;500,6509753;500,5509753;500,6509753;500,5509753;500,6509753;500,6509753;500,5509753;500,5509753;500,5009753;500,5009753
25/01/2024;472,0579394;472,0579394;472,0579394;471,0579394;472,0579394;472,0579394;472,0579394;472,0579394;472,0579394;479,0579394;479,0579394;479,0579394;479,0579394;479,0579394;479,0579394;501,1689394;501,1689394;479,0579394;501,1689394;501,1689394;501,1689394;479,0579394;479,0579394;472,0579394
26/01/2024;412,6683406;412,6683406;412,6683406;412,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;452,6683406;453,6683406;453,6683406;453,6683406;452,6683406;454,6683406;454,6683406;455,7893406;453,6683406;452,6683406;452,6683406
27/01/2024;450,300741;450,300741;450,300741;450,300741;450,300741;450,300741;450,300741;450,300741;481,300741;481,300741;503,411741;481,300741;450,300741;450,300741;450,300741;450,300741;450,300741;479,300741;503,411741;503,411741;503,411741;503,411741;481,300741;450,300741
28/01/2024;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;509,5406295;511,4296295;511,4296295;511,4296295;511,4296295;555,4296295;556,4296295;556,4296295;649,4296295;556,4296295;556,4296295;556,4296295;555,4296295
29/01/2024;569,1533353;569,1533353;549,0423353;544,0423353;549,0423353;569,1533353;569,1533353;569,1533353;605,2843353;605,2843353;619,0423353;620,0423353;619,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;620,0423353;599,0423353
