bdmem;objID2;fechaIni;fechaFin
ASCC;Sbm12524;2012-06-02 00:00:00.000;2025-01-02 00:00:00.000
ASCC;Sbm16315;2012-07-14 00:00:00.000;NULL
ASCC;Sbm16493;2012-09-13 00:00:00.000;NULL
ASCC;Sbm16645;2012-10-04 00:00:00.000;NULL
ASCC;Sbm16646;2012-10-04 00:00:00.000;NULL
ASCC;Sbm16647;2012-10-04 00:00:00.000;NULL
ASCC;Sbm17422;2013-01-10 00:00:00.000;NULL
ASCC;Sbm18556;2013-08-01 00:00:00.000;NULL
ASCC;Sbm18557;2013-08-01 00:00:00.000;NULL
ASCC;Sbm19761;2014-01-09 00:00:00.000;NULL
ASCC;Sbm20471;2014-06-26 00:00:00.000;NULL
ASCC;Sbm20806;2014-09-25 00:00:00.000;NULL
ASCC;Sbm22237;2015-11-26 00:00:00.000;NULL
ASCC;Sbm22478;2016-02-11 00:00:00.000;NULL
ASCC;Sbm25288;2023-04-26 00:00:00.000;NULL
ASCC;Sbm25719;2023-09-21 00:00:00.000;NULL
ASCC;Sbm26211;2018-06-14 00:00:00.000;NULL
ASCC;Sbm26453;2018-08-02 00:00:00.000;NULL
ASCC;Sbm26570;2018-08-23 00:00:00.000;NULL
ASCC;Sbm26756;2018-09-27 00:00:00.000;NULL
ASCC;Sbm27272;2018-12-06 00:00:00.000;NULL
ASCC;Sbm27818;2019-03-21 00:00:00.000;NULL
ASCC;Sbm28174;2019-05-30 00:00:00.000;NULL
ASCC;Sbm28317;2019-06-13 00:00:00.000;NULL
ASCC;Sbm28391;2019-06-20 00:00:00.000;NULL
ASCC;Sbm28397;2019-06-20 00:00:00.000;NULL
ASCC;Sbm29959;2019-09-26 00:00:00.000;NULL
ASCC;Sbm30655;2019-11-07 00:00:00.000;NULL
ASCC;Sbm30961;2019-12-12 00:00:00.000;NULL
ASCC;Sbm32301;2020-07-23 00:00:00.000;NULL
ASCC;Sbm32303;2020-07-23 00:00:00.000;NULL
ASCC;Sbm32305;2020-07-23 00:00:00.000;NULL
ASCC;Sbm32306;2020-07-23 00:00:00.000;NULL
ASCC;Sbm32705;2020-09-10 00:00:00.000;NULL
ASCC;Sbm33553;2020-12-31 00:00:00.000;NULL
ASCC;Sbm33848;2021-02-11 00:00:00.000;NULL
ASCC;Sbm36162;2021-10-14 00:00:00.000;NULL
ASCC;Sbm38578;2022-06-16 00:00:00.000;NULL
ASCC;Sbm39167;2023-04-26 00:00:00.000;NULL
ASCC;Sbm39256;2023-04-26 00:00:00.000;NULL
ASCC;Sbm39527;2022-10-06 00:00:00.000;NULL
ASCC;Sbm39528;2022-10-06 00:00:00.000;NULL
ASCC;Sbm41692;2023-01-05 00:00:00.000;NULL
ASCC;Sbm41693;2023-01-05 00:00:00.000;NULL
ASCC;Sbm43727;2023-08-10 00:00:00.000;NULL
ASCC;Sbm44039;2023-09-28 00:00:00.000;NULL
ASCC;Sbm44084;2023-09-28 00:00:00.000;NULL
ASCC;Sbm44488;2023-11-23 00:00:00.000;NULL
ASCC;Sbm44489;2023-11-23 00:00:00.000;NULL
ASCC;Sbm44490;2023-11-23 00:00:00.000;NULL
ASCC;Sbm44491;2023-11-23 00:00:00.000;NULL
CHVC;Sbm01034;2019-01-01 00:00:00.000;NULL
CHVC;Sbm01055;2019-01-01 00:00:00.000;NULL
CHVC;Sbm01153;2021-01-01 00:00:00.000;NULL
CHVC;Sbm01220;2021-01-01 00:00:00.000;NULL
CHVC;Sbm01923;2019-01-01 00:00:00.000;NULL
CHVC;Sbm01943;2019-03-01 00:00:00.000;NULL
CHVC;Sbm02907;2021-01-01 00:00:00.000;NULL
CHVC;Sbm04495;2020-01-01 00:00:00.000;NULL
CHVC;Sbm04514;2024-01-01 00:00:00.000;NULL
CHVC;Sbm04571;2019-01-01 00:00:00.000;NULL
CHVC;Sbm04609;2021-01-01 00:00:00.000;NULL
CHVC;Sbm04723;2020-01-01 00:00:00.000;NULL
CHVC;Sbm04860;2019-01-01 00:00:00.000;NULL
CHVC;Sbm05381;2021-01-01 00:00:00.000;NULL
CHVC;Sbm05510;2019-01-01 00:00:00.000;2024-02-01 00:00:00.000
CHVC;Sbm05511;2021-01-01 00:00:00.000;NULL
CHVC;Sbm05531;2021-01-01 00:00:00.000;NULL
CHVC;Sbm05651;2019-01-01 00:00:00.000;NULL
CHVC;Sbm06537;2019-03-01 00:00:00.000;NULL
CHVC;Sbm06655;2021-01-01 00:00:00.000;NULL
CHVC;Sbm06677;2019-01-01 00:00:00.000;NULL
CHVC;Sbm07172;2020-01-01 00:00:00.000;NULL
CHVC;Sbm07222;2020-01-01 00:00:00.000;NULL
CHVC;Sbm08533;2019-01-01 00:00:00.000;NULL
CHVC;Sbm08585;2021-01-01 00:00:00.000;NULL
CHVC;Sbm08602;2019-01-01 00:00:00.000;2024-01-01 00:00:00.000
CHVC;Sbm16619;2018-01-01 00:00:00.000;NULL
CHVC;Sbm16620;2018-01-01 00:00:00.000;NULL
CHVC;Sbm21042;2019-01-01 00:00:00.000;NULL
CHVC;Sbm28173;2019-05-30 00:00:00.000;2024-02-01 00:00:00.000
CHVC;Sbm34652;2021-05-01 00:00:00.000;NULL
CHVC;Sbm44374;2023-10-26 00:00:00.000;NULL
CHVG;Sbm02351;1996-12-31 00:00:00.000;NULL
